"","sa1reg","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"333","20102101124",0,0,0,0,5,0,0,0,3,0
"334","20102101125",6,5,0,4,8,6,0,4,0,10
"335","20102101201",4,0,4,9,5,6,4,6,11,6
"336","20102101202",0,0,0,0,4,3,0,0,3,0
"337","20102101203",18,6,3,3,7,11,11,14,5,13
"338","20102101204",6,0,3,0,7,6,5,3,0,3
"339","20102101205",4,5,7,11,7,9,7,9,10,3
"340","20102101206",7,3,7,3,8,7,4,6,5,3
"341","20102101207",5,0,3,9,10,6,6,3,0,9
"342","20102101208",9,0,8,0,11,3,8,0,3,0
"343","20102101209",3,3,7,0,6,6,5,4,3,0
"344","20102101210",8,9,3,0,7,0,11,7,8,4
"345","20102101211",6,3,3,3,4,4,5,5,3,8
"346","20102101212",3,0,3,5,6,5,3,4,0,8
"347","20102101213",7,3,0,5,4,4,0,5,5,10
"348","20102101214",7,3,3,13,10,10,12,13,9,13
"349","20102101215",3,0,0,0,6,4,0,4,9,4
"350","20102101216",9,5,5,4,8,7,7,0,8,3
"351","20102101217",11,4,0,9,4,10,10,7,8,5
"352","20103101301",6,4,0,4,5,5,8,9,11,5
"353","20103101302",0,4,0,0,7,0,4,0,0,3
"354","20103101303",0,7,3,0,5,0,3,4,3,3
"355","20103101304",4,4,0,0,4,5,9,0,6,0
"356","20103101305",0,0,0,0,0,3,3,7,0,4
"357","20103101306",5,0,3,0,0,0,0,5,0,3
"358","20103101307",3,0,3,0,0,0,0,0,5,4
"359","20103101308",11,0,7,3,11,7,6,4,7,8
"360","20103101309",4,0,4,3,3,5,3,4,0,0
"361","20103101310",4,4,0,0,3,5,6,0,0,5
"362","20103101401",0,0,6,0,0,0,0,7,3,0
"363","20103101402",9,0,0,5,0,7,0,7,0,0
"364","20103101403",17,9,11,12,4,8,12,7,7,9
"365","20103101404",0,0,7,0,9,12,5,0,7,3
"366","20103101405",3,0,0,0,5,0,8,4,9,4
"367","20103101406",3,0,6,0,0,8,0,0,5,4
"368","20103101407",0,3,3,4,3,5,3,7,5,3
"369","20103101408",6,0,3,0,4,10,5,0,6,13
"370","20103101409",3,0,0,3,0,4,0,3,9,0
"371","20103101410",0,0,0,0,0,0,0,7,0,0
"372","20103101411",0,3,0,3,3,4,3,6,0,8
"373","20103101412",4,0,0,0,4,8,3,6,9,0
"374","20103101413",0,0,0,0,0,0,0,0,0,0
"375","20103101501",8,3,6,10,14,7,10,7,4,10
"376","20103101502",0,0,0,4,12,3,3,4,0,6
"377","20103101503",18,3,3,0,5,6,10,11,3,6
"378","20103101504",0,0,0,3,4,9,3,0,0,0
"379","20103101505",3,5,0,4,7,0,8,5,4,11
"380","20103101506",0,3,0,0,4,6,10,3,5,6
"381","20103101507",10,3,6,8,10,10,8,10,11,6
"382","20103101508",6,7,0,8,8,4,10,0,5,8
"383","20103101509",0,0,3,0,13,0,8,5,7,6
"384","20103101510",0,0,0,0,3,0,0,3,5,0
"385","20103101511",0,7,0,3,0,10,0,8,0,0
"386","20103101512",7,4,3,7,9,11,6,9,0,8
"387","20103101601",4,0,0,0,0,8,0,0,3,3
"388","20103101602",12,0,4,5,5,3,7,7,0,5
"389","20103101603",12,0,3,4,9,6,0,5,0,0
"390","20103101604",7,0,9,6,6,5,9,8,5,5
"391","20103101605",4,0,0,0,0,6,5,4,11,3
"392","20103101606",0,0,0,0,4,4,4,6,3,5
"393","20103101607",8,0,6,0,11,5,6,3,11,4
"394","20103101608",0,3,4,4,9,4,4,0,0,0
"395","20103101609",8,4,0,0,4,7,3,5,3,7
"396","20103101610",0,0,10,3,6,0,4,3,3,8
"397","20103101612",6,4,5,0,9,6,4,6,3,4
"398","20103101613",10,3,0,3,8,4,6,8,10,4
"399","20103101614",13,11,7,11,16,10,11,4,10,11
"400","20103101615",0,0,0,0,0,0,0,0,0,0
"401","20103101616",6,4,5,3,0,8,3,4,0,0
"402","20103101617",6,11,6,4,0,7,3,0,0,0
"403","20103101618",0,0,0,4,0,3,4,5,4,4
"404","20103101619",7,3,3,9,7,5,7,4,6,0
"405","20103101620",12,0,0,0,6,4,4,4,3,7
"406","20103101621",6,0,5,0,9,0,0,0,4,0
"407","20103101622",4,0,5,0,5,0,0,3,4,5
"408","20103101623",0,0,0,0,0,0,0,0,3,0
"409","20103101701",0,0,3,0,4,3,4,5,4,3
"410","20103101702",3,4,6,0,4,6,4,5,3,6
"411","20103101703",3,6,0,0,0,5,4,4,0,0
"412","20103101704",0,3,0,0,0,0,0,0,6,4
"413","20103101705",0,0,0,0,5,0,4,3,3,4
"414","20103101706",0,0,0,0,0,3,3,3,4,11
"415","20103101707",9,6,4,0,7,3,8,4,4,0
"416","20103101708",7,0,3,0,0,4,0,4,3,0
"417","20103101709",6,4,4,0,12,3,3,9,3,7
