2021 Statistical Area Level 1 (SA1),Usual Resident Population,Score,Percentile within Australia
10201103412,536,992.3716398,45
10201103413,400,1055.263162,70
10201103414,453,973.8622527,38
10201103415,247,930.2080866,24
10201103416,476,971.2862067,37
10201103417,378,906.618794,18
10201103418,691,907.1220388,18
10201103419,346,1065.808189,73
10201103420,308,1106.212355,86
10201103501,806,1044.560276,66
10201103502,332,939.6643871,27
10201103503,511,997.7748707,47
10201103504,455,1001.291074,49
10201103505,432,1048.090334,67
10201103506,562,1039.202902,64
10201103507,317,931.0911234,24
10201103508,567,1083.547729,79
10201103509,388,1020.136493,56
10201103510,474,974.8042258,38
10201103511,592,1014.142656,54
10201103512,300,953.4166843,31
10201103513,340,1014.060069,54
10201103514,403,976.0088499,39
10201103515,289,893.5039835,15
10201103516,244,980.5540549,41
10201103517,147,1050.833336,68
10201103601,231,1084.120871,79
10201103602,220,1072.848131,76
10201103603,535,1026.776303,59
10201103604,301,1014.233543,54
10201103605,409,1038.228442,63
10201103606,308,994.9508317,46
10201103607,215,1122.950351,90
10201103608,496,1015.358421,54
10201103609,402,1092.394532,82
10201103610,548,991.6049154,45
10201103611,341,991.0316916,45
10201103612,172,816.9632434,4
10201103613,402,1005.020529,50
10201103614,510,993.3115172,46
10201103615,258,1030.012908,60
10201103616,315,1019.3206,56
10201103617,390,1076.015308,77
10201103618,248,1096.140516,83
10201103619,480,987.9637557,43
10201103620,508,943.338127,28
10201103621,660,1083.763091,79
10201103622,272,1023.488363,57
10201103701,704,1010.713455,52
10201103702,540,1032.786383,61
10201103703,655,1014.264027,54
10201103704,245,1026.488425,59
10201103705,479,1042.506452,65
10201103706,383,1040.88389,64
10201103707,497,1057.39284,70
10201103708,239,1040.961665,64
10201103709,682,1026.119486,59
10201103710,366,1056.312044,70
10201103711,345,1035.811211,62
10201103712,306,1069.710267,75
10201103713,659,957.1182461,32
10201103714,460,1015.585412,54
10201103801,447,1058.045306,71
10201103802,542,1055.95612,70
10201103803,378,969.3459319,36
10201103804,581,994.2578105,46
